Country,Clicks,Impressions,CTR,Position
American Samoa,0,1,0%,12
St. Martin,0,1,0%,12
Guinea-Bissau,0,1,0%,15
South Sudan,0,1,0%,15
Yemen,0,1,0%,18
Greenland,0,1,0%,23
Mayotte,0,1,0%,30
Martinique,0,1,0%,35
New Caledonia,0,1,0%,40
Marshall Islands,0,1,0%,46
Guinea,0,1,0%,161
