Combined,Volume
"concrete cutting Meadow Heights","0"
"concrete cutting Truganina","0"
"concrete cutting Clayton","0"
"concrete cutting Eltham","0"
"concrete cutting Heatherton","0"
"concrete cutting Glen Waverley","0"
"concrete cutting Taylors Lakes","0"
"concrete cutting Clarinda","0"
"concrete cutting Forest Hill","0"
"concrete cutting Notting Hill","0"
"concrete cutting Briar Hill","0"
"concrete cutting Greenvale","0"
"concrete cutting Nunawading","0"
"concrete cutting Albanvale","0"
"concrete cutting Delahey","0"
"concrete cutting Kings Park","0"
"concrete cutting Donvale","0"
"concrete cutting Clayton South","0"
"concrete cutting Plenty","0"
"concrete cutting Keilor Lodge","0"
"concrete cutting Keilor North","0"
"concrete cutting Beaumaris","0"
"concrete cutting Somerton","0"
"concrete cutting Ravenhall","0"
"concrete cutting Vermont South","0"
"concrete cutting Seabrook","0"
"concrete cutting Eltham North","0"
"concrete cutting Williams Landing","0"
"concrete cutting Burnside","0"
"concrete cutting St Helena","0"
"concrete cutting Roxburgh Park","0"
"concrete cutting Mulgrave","0"
"concrete cutting Mentone","0"
"concrete cutting Mitcham","0"
"concrete cutting Burnside Heights","0"
"concrete cutting Vermont","10"
"concrete cutting Sydenham","0"
"concrete cutting Caroline Springs","0"
"concrete cutting Warrandyte","0"
"concrete cutting Taylors Hill","0"
"concrete cutting Springvale","0"
"concrete cutting Wheelers Hill","0"
"concrete cutting South Morang","0"
"concrete cutting Diamond Creek","0"
"concrete cutting Moorabbin Airport","0"
"concrete cutting Park Orchards","0"
"concrete cutting Dingley Village","0"
"concrete cutting Bulla","0"
"concrete cutting Hoppers Crossing","0"
"concrete cutting Parkdale","0"
"concrete cutting Research","0"
"concrete cutting Wantirna South","0"
"concrete cutting Craigieburn","10"
"concrete cutting Wantirna","0"
"concrete cutting Wollert","0"
"concrete cutting Hillside","0"
"concrete cutting Yarrambat","0"
"concrete cutting North Warrandyte","0"
"concrete cutting Springvale South","0"
"concrete cutting Ringwood","0"
"concrete cutting Ringwood North","0"
"concrete cutting Tarneit","0"
"concrete cutting Scoresby","0"
"concrete cutting Oaklands Junction","0"
"concrete cutting Deanside","0"
"concrete cutting Mordialloc","0"
"concrete cutting Calder Park","0"
"concrete cutting Fraser Rise","0"
"concrete cutting Braeside","0"
"concrete cutting Werribee South","0"
"concrete cutting Werribee","10"
"concrete cutting Heathmont","0"
"concrete cutting Noble Park","0"
"concrete cutting Noble Park North","0"
"concrete cutting Mernda","0"
"concrete cutting Wattle Glen","0"
"concrete cutting Warrandyte South","0"
"concrete cutting Kangaroo Ground","0"
"concrete cutting Diggers Rest","0"
"concrete cutting Yuroke","0"
"concrete cutting Ringwood East","0"
"concrete cutting Bonnie Brook","0"
"concrete cutting Aspendale","0"
"concrete cutting Bayswater","0"
"concrete cutting Warranwood","0"
"concrete cutting Rowville","0"
"concrete cutting Dandenong North","0"
"concrete cutting Keysborough","0"
"concrete cutting Mount Cottrell","0"
"concrete cutting Aspendale Gardens","0"
"concrete cutting Doreen","0"
"concrete cutting Mickleham","0"
"concrete cutting Knoxfield","0"
"concrete cutting Croydon","10"
"concrete cutting Waterways","0"
"concrete cutting Boronia","0"
"concrete cutting Wonga Park","0"
"concrete cutting Hurstbridge","0"
"concrete cutting Croydon Hills","0"
"concrete cutting Croydon South","0"
"concrete cutting Bayswater North","0"
"concrete cutting Wildwood","0"
"concrete cutting Dandenong","20"
"concrete cutting Ferntree Gully","0"
"concrete cutting Sunbury","0"
"concrete cutting Aintree","0"
"concrete cutting Rockbank","0"
"concrete cutting Edithvale","0"
"concrete cutting Croydon North","0"
"concrete cutting Bangholme","0"
"concrete cutting Endeavour Hills","0"
"concrete cutting Chelsea Heights","0"
"concrete cutting Wyndham Vale","0"
"concrete cutting Panton Hill","0"
"concrete cutting Donnybrook","0"
"concrete cutting Nutfield","0"
"concrete cutting Woodstock","0"
"concrete cutting Cottles Bridge","0"
"concrete cutting Lysterfield South","0"
"concrete cutting Cocoroc","0"
"concrete cutting Chelsea","0"
"concrete cutting Plumpton","0"
"concrete cutting Bend Of Islands","0"
"concrete cutting Thornhill Park","0"
"concrete cutting Dandenong South","0"
"concrete cutting Doveton","0"
"concrete cutting Yan Yean","0"
"concrete cutting Kilsyth","0"
"concrete cutting Lysterfield","0"
"concrete cutting Grangefields","0"
"concrete cutting Chirnside Park","0"
"concrete cutting Watsons Creek","0"
"concrete cutting The Basin","0"
"concrete cutting Kilsyth South","0"
"concrete cutting Mooroolbark","0"
"concrete cutting Christmas Hills","0"
"concrete cutting Kalkallo","0"
"concrete cutting Tremont","0"
"concrete cutting Bonbeach","0"
"concrete cutting Patterson Lakes","0"
"concrete cutting Upper Ferntree Gully","0"
"concrete cutting Arthurs Creek","0"
"concrete cutting Manor Lakes","0"
"concrete cutting Eumemmerring","0"
"concrete cutting Strathtulloh","0"
"concrete cutting Montrose","0"
"concrete cutting Melton","0"
"concrete cutting Carrum","0"
"concrete cutting Ferny Creek","0"
"concrete cutting Upwey","0"
"concrete cutting Cobblebank","0"
"concrete cutting Mambourin","0"
"concrete cutting Hallam","0"
"concrete cutting Lilydale","10"
"concrete cutting Sassafras","0"
"concrete cutting Narre Warren North","0"
"concrete cutting Clarkefield","0"
"concrete cutting Coldstream","0"
"concrete cutting Mount Dandenong","0"
"concrete cutting Carrum Downs","0"
"concrete cutting Eynesbury","0"
"concrete cutting Seaford","0"
"concrete cutting Beveridge","0"
"concrete cutting Smiths Gully","0"
"concrete cutting Toolern Vale","0"
"concrete cutting Eden Park","0"
"concrete cutting Yering","0"
"concrete cutting St Andrews","0"
"concrete cutting Hampton Park","0"
"concrete cutting Whittlesea","0"
"concrete cutting Sherbrooke","0"
"concrete cutting Olinda","0"
"concrete cutting Weir Views","0"
"concrete cutting Tecoma","0"
"concrete cutting Lyndhurst","0"
"concrete cutting Belgrave Heights","0"
"concrete cutting Kalorama","0"
"concrete cutting Belgrave South","0"
"concrete cutting Exford","0"
"concrete cutting Mount Evelyn","0"
"concrete cutting Kurunjang","0"
"concrete cutting Little River","0"
"concrete cutting Narre Warren","0"
"concrete cutting Belgrave","0"
"concrete cutting Lynbrook","0"
"concrete cutting Humevale","0"
"concrete cutting Melton South","0"
"concrete cutting Quandong","0"
"concrete cutting Narre Warren East","0"
"concrete cutting Sandhurst","0"
"concrete cutting Yarra Glen","0"
"concrete cutting Kallista","0"
"concrete cutting Selby","0"
"concrete cutting Skye","0"
"concrete cutting Narre Warren South","0"
"concrete cutting Brookfield","0"
"concrete cutting Kinglake West","0"
"concrete cutting Strathewen","0"
"concrete cutting Frankston North","0"
"concrete cutting Gisborne South","0"
"concrete cutting Melton West","0"
"concrete cutting Frankston","10"
"concrete cutting Silvan","0"
"concrete cutting Darraweit Guim","0"
"concrete cutting Harkness","0"
"concrete cutting Monbulk","0"
"concrete cutting The Patch","0"
"concrete cutting Berwick","10"
"concrete cutting Cranbourne West","0"
"concrete cutting Harkaway","0"
"concrete cutting Kinglake","0"
"concrete cutting Cranbourne North","0"
"concrete cutting Point Wilson","0"
"concrete cutting Wandin North","0"
"concrete cutting Menzies Creek","0"
"concrete cutting Emerald","0"
"concrete cutting Langwarrin","0"
"concrete cutting Parwan","0"
"concrete cutting Cranbourne","10"
"concrete cutting Frankston South","0"
"concrete cutting Mount Eliza","0"
"concrete cutting Beaconsfield Upper","0"
"concrete cutting Steels Creek","0"
"concrete cutting Hopetoun Park","0"
"concrete cutting Gruyere","0"
"concrete cutting Wandin East","0"
"concrete cutting Clematis","0"
"concrete cutting Cranbourne South","0"
"concrete cutting Upper Plenty","0"
"concrete cutting Wallan","0"
"concrete cutting Bolinda","0"
"concrete cutting Portarlington","0"
"concrete cutting Indented Head","0"
"concrete cutting Long Forest","0"
"concrete cutting Cranbourne East","0"
"concrete cutting Riddells Creek","0"
"concrete cutting Seville","0"
"concrete cutting Guys Hill","0"
"concrete cutting St Leonards","0"
"concrete cutting Gisborne","0"
"concrete cutting Botanic Ridge","0"
"concrete cutting Balliang East","0"
"concrete cutting Beaconsfield","0"
"concrete cutting Tarrawarra","0"
"concrete cutting Dixons Creek","0"
"concrete cutting Macclesfield","0"
"concrete cutting Clyde North","0"
"concrete cutting Merrimu","0"
"concrete cutting Mornington","0"
"concrete cutting Langwarrin South","0"
"concrete cutting Coimadai","0"
"concrete cutting Pheasant Creek","0"
"concrete cutting Clonbinane","0"
"concrete cutting Bellarine","0"
"concrete cutting Kinglake Central","0"
"concrete cutting Baxter","0"
"concrete cutting Bacchus Marsh","0"
"concrete cutting Chintin","0"
"concrete cutting Junction Village","0"
"concrete cutting Balliang","0"
"concrete cutting Officer","0"
"concrete cutting Yellingbo","0"
"concrete cutting Monegeetta","0"
"concrete cutting Pearcedale","0"
"concrete cutting Maddingley","0"
"concrete cutting Avonsleigh","0"
"concrete cutting Clyde","0"
"concrete cutting Dewhurst","0"
"concrete cutting Moorooduc","0"
"concrete cutting Devon Meadows","0"
"concrete cutting Seville East","0"
"concrete cutting Cockatoo","0"
"concrete cutting Avalon","0"
"concrete cutting Lara","0"
"concrete cutting Heathcote Junction","0"
"concrete cutting Drysdale","0"
"concrete cutting Somerville","10"
"concrete cutting Healesville","0"
"concrete cutting Officer South","0"
"concrete cutting New Gisborne","0"
"concrete cutting Wandong","0"
"concrete cutting Pakenham","10"
"concrete cutting Mount Martha","0"
"concrete cutting Darley","0"
"concrete cutting Woori Yallock","0"
"concrete cutting Castella","0"
"concrete cutting Bylands","0"
"concrete cutting Mount Burnett","0"
"concrete cutting Pakenham Upper","0"
"concrete cutting Rowsley","0"
"concrete cutting Nangana","0"
"concrete cutting Toolangi","0"
"concrete cutting Clifton Springs","0"
"concrete cutting Chum Creek","0"
"concrete cutting Swan Bay","0"
"concrete cutting Romsey","0"
