"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://dantondevelopm.wpenginepowered.com/suspended-ceilings-preston/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Suspended Ceilings Preston | Danton Developments","48","463","Transform your Preston property with professional suspended ceilings. Lower noise, reduce energy bills & modernise interiors. Expert commercial & residential services.","167","1029","","0","Suspended Ceilings Preston","26","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","168223","28115","28115","10.770","","1150","191","6.021","43.294","Hard","5.698","1","1","","106","47","0","100.000","120","47","0","5","3","0","","","","","46f40f60e99e14c4b828b24916b5dc1e","0.665","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/suspended-ceilings-preston/","2026-04-15 09:58:14"
"https://dantondevelopm.wpenginepowered.com/partition-walls/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Office Partitions Melbourne | Danton Developments","49","459","Professional office partitions Melbourne & partition walls. 25+ years experience. Glass, aluminium & plasterboard services. Free quotes. Call 0403 709 884.","155","952","","0","Partition Walls Melbourne","25","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","160807","25343","25343","9.708","","348","80","4.350","63.121","Normal","2.380","1","1","","154","47","0","100.000","126","47","0","5","3","0","","","","","7da78031a37f82bec53def7d23bc7ea1","0.624","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/partition-walls/","2026-04-15 09:58:14"
"https://dantondevelopm.wpenginepowered.com/suspended-ceilings-epping/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Suspended Ceilings Epping | Expert Installation Services","56","497","Transform your Epping property with suspended ceilings. Cut energy bills, control noise & modernise spaces. Commercial & residential services. Free quotes available.","165","1018","","0","Suspended Ceilings Epping","25","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","168556","28975","28975","11.100","","1302","204","6.382","48.701","Hard","6.228","1","1","","106","47","0","100.000","120","47","0","5","3","0","","","","","4909177fd2ca9a7718ad1ee236e68f37","0.743","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/suspended-ceilings-epping/","2026-04-15 09:58:14"
"https://dantondevelopm.wpenginepowered.com/partition-walls-truganina/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Partition Walls Truganina | Office Fitouts | Danton","51","441","Transform your Truganina warehouse into productive offices with partition walls. Expert solutions for logistics & distribution centres. Call 0403 709 884.","154","938","","0","Partition Walls Truganina","25","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","167469","27814","27814","10.655","","1066","178","5.989","43.937","Hard","5.416","1","1","","106","47","0","100.000","120","47","0","5","3","0","","","","","3399270c15fac4ec1954c1ef23d2423e","0.743","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/partition-walls-truganina/","2026-04-15 09:58:14"
"https://dantondevelopm.wpenginepowered.com/partition-walls-geelong/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Partition Walls Geelong | Office Partitions | Danton Developments","65","584","Transform your Geelong workspace with premium partition walls. Create productive offices, lower noise, and maximise flexibility. Professional installation. Free quotes.","168","1029","","0","Partition Walls Geelong","23","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","168160","28127","28127","10.775","","1146","212","5.406","51.563","Fairly Hard","5.616","1","1","","106","47","0","100.000","120","47","0","5","3","0","","","","","8579aabd5c768671564b0700ce628ea5","0.696","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/partition-walls-geelong/","2026-04-15 09:58:15"
"https://dantondevelopm.wpenginepowered.com/suspended-ceilings-port-melbourne/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Suspended Ceilings Port Melbourne | Danton Developments","55","531","Expert suspended ceilings in Port Melbourne for offices, retail & commercial spaces. Professional installation, acoustic solutions & repairs. Call 0403 709 884.","160","967","","0","Suspended Ceilings Port Melbourne","33","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","167840","27864","27864","10.674","","1117","185","6.038","48.093","Hard","5.510","1","1","","106","47","0","100.000","120","47","0","5","3","0","","","","","107ff32d08ee24dd9c6992aa5bafed1f","0.673","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/suspended-ceilings-port-melbourne/","2026-04-15 09:58:15"
"https://dantondevelopm.wpenginepowered.com/partition-walls-collingwood/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Partition Walls Collingwood | Danton Developments","49","458","Professional partition walls in Collingwood for offices, creative spaces & commercial fitouts. Transform your workspace with acoustic solutions. Call 0403 709 884.","163","1006","","0","Partition Walls Collingwood","27","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","167055","27732","27732","10.624","","999","169","5.911","46.624","Hard","5.111","1","1","","106","47","0","100.000","120","47","0","5","3","0","","","","","3c0c8a6c9fdc8ac5c196f8950c6ee7e1","0.647","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/partition-walls-collingwood/","2026-04-15 09:58:15"
"https://dantondevelopm.wpenginepowered.com/services/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Services | Danton Developments","30","289","","0","0","","0","Services","8","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","160107","24822","24822","9.509","","269","75","3.587","78.024","Fairly Easy","1.996","1","1","","153","47","0","100.000","135","47","0","5","3","0","","","","","a103a20097f7c3797062a3346bc5d6bf","0.660","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/services/","2026-04-15 09:58:15"
"https://dantondevelopm.wpenginepowered.com/shop-partition-walls/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Shop Partition Walls | Danton Developments","42","394","","0","0","","0","Shop Partition Walls Melbourne","30","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","159047","25187","25187","9.649","","310","70","4.429","69.709","Normal","2.222","1","1","","108","47","0","100.000","120","47","0","5","3","0","","","","","321c4b59bb6d3eeecbf11e715b4543dc","0.609","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/shop-partition-walls/","2026-04-15 09:58:15"
"https://dantondevelopm.wpenginepowered.com/exposed-grid-ceilings/","text/html; charset=UTF-8","200","OK","Non-Indexable","Blocked by robots.txt","Exposed Grid Ceilings Melbourne | Danton Developments","53","506","Premium exposed grid & tile grid ceilings Melbourne. Commercial office fitouts, partitions & suspended ceilings by seasoned professionals. 25+ years experience.","160","986","","0","Exposed Grid Ceilings Melbourne","31","Send us a message","17","Send us a message","17","noindex, nofollow","","","","","","","","","169672","29074","29074","11.138","","1363","227","6.004","41.037","Hard","6.644","1","1","","155","47","0","100.000","120","47","0","5","3","0","","","","","58c0d5cf61a4475a5a92ef721282bd80","0.700","","","","","en-US","1.1","","","","","","https://dantondevelopm.wpenginepowered.com/exposed-grid-ceilings/","2026-04-15 09:58:16"
